"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","collision","weekday","bizday","onoff"
16340049,"GGHB",160401,"04/01/2016 07:30:00","1179-Trfc Collision-1141 Enrt","I80 W / W Texas St Onr","Solano FSP",NA,NA,38.247868,-122.073078,4,95,23182,80,"W","17.004",44.5,"",4,TRUE,"Friday",TRUE,TRUE
16340050,"GGHB",160401,"04/01/2016 07:29:00","1179-Trfc Collision-1141 Enrt","I80 W / W Texas St Onr","Solano",NA,NA,38.247868,-122.073078,4,95,23182,80,"W","17.004",44.5,"",12,TRUE,"Friday",TRUE,TRUE
16340094,"GGHB",160401,"04/01/2016 07:57:00","1183-Trfc Collision-Unkn Inj","I80 W / N Meridian Rd Ofr","Solano FSP",NA,NA,38.404904,-121.91246,4,95,81554,80,"W","31.52",59,"",16,TRUE,"Friday",TRUE,TRUE
16340095,"GGHB",160401,"04/01/2016 07:55:00","1183-Trfc Collision-Unkn Inj","I80 W / N Meridian Rd Ofr","Solano",NA,NA,38.404904,-121.91246,4,95,81554,80,"W","31.52",59,"",2,TRUE,"Friday",TRUE,TRUE
16340125,"GGHB",160401,"04/01/2016 08:09:00","1182-Trfc Collision-No Inj","I80 W / Tp","San Francisco",NA,NA,37.824289,-122.313853,4,1,53000,80,"W","1.99",7.3,"",20,TRUE,"Friday",TRUE,FALSE
16340327,"GGHB",160401,"04/01/2016 09:58:00","1182-Trfc Collision-No Inj","I80 W / Appian Wy S Onr","Oakland",NA,NA,37.992603,-122.306302,4,13,57288,80,"W","7.354",20.7,"",24,TRUE,"Friday",TRUE,TRUE
16340342,"GGHB",160401,"04/01/2016 09:59:00","1182-Trfc Collision-No Inj","I80 W / Appian Wy S Onr","Oakland FSP",NA,NA,37.992603,-122.306302,4,13,57288,80,"W","7.354",20.7,"",0,TRUE,"Friday",TRUE,TRUE
16340426,"GGHB",160401,"04/01/2016 10:56:00","1182-Trfc Collision-No Inj","I80 W / University Ave Ofr","Oakland",NA,NA,37.869523,-122.304749,4,1,6000,80,"W","5.99",11.3,"",14,TRUE,"Friday",TRUE,TRUE
16340439,"GGHB",160401,"04/01/2016 10:59:00","1182-Trfc Collision-No Inj","I80 W / Treasure Island Onr","San Francisco",NA,NA,37.808087,-122.367206,4,75,67000,80,"W","7.64",4.1,"",26,TRUE,"Friday",TRUE,TRUE
16340821,"GGHB",160401,"04/01/2016 14:10:00","1183-Trfc Collision-Unkn Inj","I80 W / Powell St Ofr","Oakland",NA,NA,37.842598,-122.297583,4,1,22594,80,"W","4.09",9.4,"",7,TRUE,"Friday",TRUE,TRUE
