"ID","Fwy","Dir","District","County","City","State_PM","Abs_PM","Latitude","Longitude","Length","Type","Lanes","Name","User_ID_1","User_ID_2","User_ID_3","User_ID_4"
400009,80,"W",4,1,6000,"5.7",11.01,37.864883,-122.303345,0.321,"ML",5,"oppo University Ave off-e-diag","DT321","L5-W-33-080-00570","997005",427288
400060,80,"W",4,1,6000,"6.2",11.51,37.87181,-122.305549,0.205,"ML",5,"N of University Ave","DT322","L5-W-33-080-00620","997001",427302
400074,80,"W",4,95,81666,"3.4",30.872,38.108307,-122.22977,0.41,"ML",3,"Tennessee St.(east) off ramp","DT060","L3-W-23-080-00340","999074",421467
400079,80,"W",4,13,60620,".51",13.843,37.904377,-122.313309,0.235,"ML",4,"W of Panama Ave","DT111","L4-W-28-080-00051","801160",419658
400113,80,"W",4,13,60620,"2.62",15.953,37.932553,-122.326013,0.46,"ML",4,"Barrett Ave rm-w-diag","DT463","L4-W-28-080-00262","080168",419694
400126,80,"W",4,1,6000,"5.09",10.4,37.856366,-122.301014,0.29,"ML",5,"S Aquatic Park","DT319","L5-W-33-080-00491","997007",427274
400128,80,"W",4,95,81666,"1.75",29.222,38.084974,-122.233096,0.52,"ML",3,"oppo Magazine St  on-e-","DT056","L3-W-23-080-00175","080230",421457
400176,80,"W",4,1,6000,"5.892",11.202,37.867545,-122.304183,0.245,"ML",5,"University Ave rm-w-loop","DT6A7","L5-W-33-080-00589","997003",427295
400235,80,"W",4,13,NA,"11.381",24.714,38.030602,-122.254968,0.528,"ML",4,"California St / Spring","DT023","L4-W-28-080-01138","802208",431137
400301,80,"W",4,13,57288,"8.692",22.025,37.999311,-122.28411,0.334,"ML",4,"oppo Pinole Valley Rd","DT469","L4-W-28-080-00869","080196",424324
400313,80,"W",4,13,57288,"7.62",20.953,37.993511,-122.301607,0.402,"ML",4,"Appian Way rm-e-diag","DT873","L4-W-28-080-00762","999353",424312
400337,80,"W",4,95,81666,"1.09",28.562,38.075741,-122.231688,0.395,"ML",3,"Sonoma Blvd on-w-diag","DT055","L3-W-23-080-00109","080224",421452
400361,80,"W",4,13,60620,"2.97",16.303,37.937368,-122.326196,0.395,"ML",4,"oppo San Pablo Ave rm-e-diag","DT114","L4-W-28-080-00297","080170",419700
400378,80,"W",4,13,60620,"2.05",15.383,37.925318,-122.320965,0.31,"ML",5,"Cutting Blvd off-w-diag","DT0D3","L5-W-28-080-00205","080173",427204
400411,80,"W",4,13,60620,"6.27",19.603,37.980256,-122.317154,0.356,"ML",4,"1000' W of Richmond Pkwy","DT169","L4-W-28-080-00627","080006",424288
400465,80,"W",4,13,57288,"6.935",20.268,37.9891,-122.312663,0.239,"ML",4,"Richmond Pkwy rm-e-diag","DT172","L4-W-28-080-00694","802190",424300
400470,80,"W",4,13,60620,"1.24",14.573,37.914219,-122.317555,0.21,"ML",4,"E of Carlson Blvd","DTA13","L4-W-28-080-00124","801162",419676
400501,80,"W",4,13,NA,"11.914",25.247,38.036851,-122.249232,0.385,"ML",4,"600' W of Refinery Rd UC","DT024","L4-W-28-080-01191","801208",424366
400538,80,"W",4,13,57288,"6.763",20.096,37.987131,-122.314625,0.332,"ML",4,"Richmond Pkwy rm-w-loop","DT171","L4-W-28-080-00676","080004",424294
400628,80,"W",4,13,60620,".44",13.773,37.903475,-122.312712,0.14,"ML",4,"oppo Central Ave rm-e-diag","DT110","L4-W-28-080-00044","802160",419652
400691,80,"W",4,1,6000,"4.67",9.98,37.850502,-122.299413,0.35,"ML",5,"oppo Ashby Ave on-e-diag","DT3A8","L5-W-33-080-00467","997009",427267
400707,80,"W",4,13,33308,"10.189",23.522,38.016716,-122.267896,0.318,"ML",4,"oppo SR4 rm-e-fly/diag","DT020","L4-W-28-080-01019","801202",431335
400755,80,"W",4,13,60620,".91",14.243,37.909536,-122.316706,0.305,"ML",4,"CARLSON BLVD","DT112","L4-W-28-080-00091","802162",419664
400819,80,"W",4,13,60620,"1.54",14.873,37.918568,-122.317539,0.38,"ML",4,"POTRERO AVE","DT462","L4-W-28-080-00154","803166",419682
400929,80,"W",4,13,57288,"7.24",20.573,37.991876,-122.308285,0.332,"ML",5,"1000' W of Appian Way","DT468","L5-W-28-080-00724","999363",427232
401041,80,"W",4,13,60620,"2",15.333,37.92469,-122.320506,0.255,"ML",4," oppo Cutting Blvd rm-e-loop","DT165","L4-W-28-080-00200","802166",419688
401052,80,"W",4,13,60620,".06",13.393,37.898689,-122.309697,0.092,"ML",4,"W of Central Ave","DT460","L4-W-28-080-00006","080163",419640
401066,80,"W",4,1,6000,"6.64",11.95,37.878125,-122.307431,0.33,"ML",6,"Gilman St off-w-diag","DT6A1","L6-W-33-080-00664","080404",427316
401081,80,"W",4,13,33308,"9.408",22.741,38.007643,-122.276369,0.305,"ML",4,"3000' W of SR4","DT071","L4-W-28-080-00941","080406",424330
401083,80,"W",4,13,33308,"9.683",23.016,38.010814,-122.273346,0.281,"ML",4,"Sycamore Ave UC","DT783","L4-W-28-080-00968","080408",424336
401084,80,"W",4,13,NA,"9.072",22.405,38.003734,-122.280004,0.358,"ML",5,"1200' E of Pinole Valley Rd","DT470","L5-W-28-080-00907","080401",427239
401152,80,"W",4,95,23182,"17.87",45.353,38.257804,-122.063012,0.22,"ML",5,"Travis Blvd rm-w-diag","DT076","L5-W-23-080-01787","080312",419532
401155,80,"W",4,95,23182,"17.93",45.413,38.258526,-122.062402,0.265,"ML",4,"TRAVIS BLVD  RM-W- LOOP","DT781","L4-W-23-080-01793","080324",419538
401197,80,"W",4,13,60620,"5.5",18.833,37.969432,-122.320772,0.305,"ML",4,"oppo El Portal Dr rm-e-diag","DT861","L4-W-28-080-00550","997024",419724
