Abs_PM_max,Abs_PM_min,day,minute_max,minute_min,pixels
14.243,11.202,b'2016_04_01.csv',945.0,635.0,207.0
5.38,4.48,b'2016_04_01.csv',850.0,835.0,14.0
5.38,4.7,b'2016_04_01.csv',885.0,875.0,11.0
6.15,5.67,b'2016_04_01.csv',900.0,880.0,12.0
7.72,3.3,b'2016_04_01.csv',1155.0,900.0,383.0
68.92699999999999,67.967,b'2016_04_01.csv',1050.0,900.0,62.0
8.99,7.97,b'2016_04_01.csv',1145.0,955.0,41.0
11.202,10.56,b'2016_04_01.csv',1050.0,1030.0,12.0
32.032,31.991999999999997,b'2016_04_01.csv',1080.0,1050.0,11.0
8.99,8.99,b'2016_04_01.csv',1225.0,1150.0,16.0
51.441,51.441,b'2016_04_04.csv',355.0,310.0,10.0
52.861000000000004,52.861000000000004,b'2016_04_04.csv',365.0,320.0,10.0
7.97,7.73,b'2016_04_04.csv',575.0,335.0,52.0
54.251000000000005,54.251000000000005,b'2016_04_04.csv',390.0,335.0,12.0
55.031000000000006,55.031000000000006,b'2016_04_04.csv',400.0,345.0,12.0
42.453,41.063,b'2016_04_04.csv',430.0,365.0,25.0
19.203,18.833,b'2016_04_04.csv',445.0,370.0,35.0
17.393,16.743,b'2016_04_04.csv',420.0,380.0,26.0
45.413000000000004,44.573,b'2016_04_04.csv',525.0,385.0,87.0
20.573,19.602999999999998,b'2016_04_04.csv',435.0,400.0,18.0
52.861000000000004,52.861000000000004,b'2016_04_04.csv',490.0,430.0,13.0
42.453,40.673,b'2016_04_04.csv',550.0,445.0,61.0
14.453,10.56,b'2016_04_04.csv',880.0,785.0,139.0
19.203,18.833,b'2016_04_05.csv',380.0,360.0,11.0
42.453,40.673,b'2016_04_05.csv',430.0,365.0,33.0
15.333,14.453,b'2016_04_05.csv',480.0,455.0,13.0
17.393,15.953,b'2016_04_05.csv',510.0,465.0,27.0
19.203,18.833,b'2016_04_05.csv',545.0,475.0,36.0
21.736,19.602999999999998,b'2016_04_05.csv',525.0,480.0,40.0
7.97,7.97,b'2016_04_05.csv',680.0,630.0,11.0
7.72,7.72,b'2016_04_05.csv',700.0,640.0,13.0
11.95,11.95,b'2016_04_05.csv',925.0,880.0,10.0
11.202,9.21,b'2016_04_05.csv',1105.0,885.0,90.0
18.833,18.833,b'2016_04_06.csv',430.0,365.0,14.0
20.268,19.602999999999998,b'2016_04_06.csv',420.0,385.0,15.0
9.7,9.21,b'2016_04_06.csv',490.0,435.0,13.0
6.15,5.87,b'2016_04_06.csv',600.0,575.0,11.0
14.453,13.562999999999999,b'2016_04_06.csv',590.0,575.0,13.0
6.15,5.19,b'2016_04_06.csv',645.0,605.0,29.0
7.97,7.97,b'2016_04_06.csv',700.0,635.0,14.0
7.72,6.74,b'2016_04_06.csv',755.0,645.0,25.0
6.46,4.7,b'2016_04_06.csv',750.0,705.0,82.0
4.48,3.3,b'2016_04_06.csv',800.0,725.0,19.0
6.74,4.48,b'2016_04_07.csv',375.0,345.0,82.0
41.473,40.113,b'2016_04_07.csv',425.0,365.0,21.0
